#PATH-POINTS-START Path
-27.066, 48.517, 87.315
-25.068, 48.592, 84.356
-24.175, 47.891, 82.63
-24.826, 46.001, 79.498
-25.327, 44.066, 76.239
-25.633, 42.092, 72.835
-25.691, 40.096, 69.266
-25.406, 38.122, 65.506
-24.731, 36.245, 64.591
-23.655, 34.566, 69.016
-22.268, 33.131, 73.081
-20.638, 31.977, 81.334
-18.879, 31.029, 84.795
-17.029, 30.271, 90.055
-15.127, 29.654, 91.979
-13.194, 29.142, 93.546
-11.24, 28.715, 94.83
-9.273, 28.356, 96.8
-7.297, 28.05, 96.682
-5.315, 27.782, 94.018
-3.329, 27.542, 91.276
-1.341, 27.321, 88.45
0.648, 27.111, 85.53
2.637, 26.904, 82.507
4.625, 26.691, 79.368
6.613, 26.465, 76.101
8.597, 26.217, 72.687
10.577, 25.937, 69.104
12.551, 25.611, 65.325
14.512, 25.219, 61.314
16.455, 24.747, 57.022
18.37, 24.172, 52.38
20.232, 23.446, 47.286
22.007, 22.527, 41.574
21.768, 21.312, 37.601
20.287, 19.968, 30.097
18.963, 18.48, 20
18.198, 16.708, 76.582
16.857, 15.225, 94.402
16.766, 13.861, 100
18.127, 12.399, 100
19.225, 10.731, 100
20.035, 8.905, 100
20.596, 6.986, 100
20.955, 5.02, 100
21.161, 3.031, 100
21.263, 1.034, 100
21.295, -0.966, 100
21.288, -2.966, 100
21.264, -4.966, 100
21.243, -6.966, 100
21.243, -8.966, 100
21.279, -10.965, 100
21.369, -12.963, 100
21.524, -14.957, 100
21.756, -16.943, 100
22.075, -18.917, 100
22.495, -20.873, 100
23.019, -22.803, 100
23.575, -24.724, 100
24.083, -26.658, 100
24.083, -28.349, 100
22.906, -26.739, 100
21.854, -25.039, 100
20.802, -23.337, 100
19.723, -21.653, 100
18.596, -20.002, 100
17.392, -18.405, 100
16.059, -16.915, 100
14.49, -15.686, 100
12.969, -16.19, 100
13.032, -18.179, 100
13.433, -20.138, 100
13.952, -22.07, 100
14.532, -23.984, 100
15.151, -25.885, 100
15.797, -27.778, 100
16.462, -29.664, 100
17.142, -31.545, 100
17.834, -33.422, 100
